Route,Direction,Weekday,Service Day,Branch,Month,Hour,Average Headway,Actual Gap,Additional Time due to Missing Service,% Additional Time due to Missing Service,Waiting Time as Experienced,Additional Time due to Bunching,% Additional Time due to Bunching,Schedule Adherence,Dwell Time at Stops,Stops Served
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,5,10:10,20:10,10:00,98%,20:41,0:31,5%,7:08,0:03,219
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,6,10:04,10:31,0:27,4%,11:09,0:38,6%,1:46,0:06,278
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,7,4:31,5:02,0:31,11%,10:44,5:42,126%,5:22,0:09,433
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,8,5:23,5:53,0:30,9%,9:16,3:23,63%,7:38,0:08,445
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,9,4:50,9:54,5:04,105%,14:05,4:11,87%,5:01,0:12,435
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,10,10:29,11:10,0:41,7%,11:29,0:19,3%,2:38,0:02,211
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,11,10:12,10:50,0:38,6%,11:43,0:53,9%,0:44,0:02,168
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,12,10:02,16:27,6:25,64%,17:09,0:42,7%,4:18,0:04,231
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,13,10:07,10:19,0:12,2%,10:58,0:39,6%,0:39,0:04,186
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,14,9:42,24:09,14:27,149%,24:26,0:17,3%,2:37,0:05,280
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,15,9:58,10:42,0:44,7%,11:38,0:56,9%,0:38,0:05,292
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,16,4:53,4:59,0:06,2%,8:25,3:26,70%,4:21,0:06,240
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,17,5:27,12:09,6:42,123%,14:24,2:15,41%,8:36,0:05,322
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,18,4:42,17:27,12:45,271%,19:42,2:15,48%,6:39,0:06,313
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,19,10:10,10:40,0:30,5%,10:47,0:07,1%,1:19,0:02,218
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,20,10:29,10:34,0:05,1%,11:19,0:45,7%,2:37,0:03,221
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,21,10:20,23:40,13:20,129%,24:00,0:20,3%,0:46,0:05,183
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,22,9:31,9:56,0:25,4%,10:01,0:05,1%,-0:10,0:06,279
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,23,9:46,9:51,0:05,1%,10:16,0:25,4%,7:20,0:03,174
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,5,9:43,9:54,0:11,2%,10:22,0:28,5%,1:05,0:05,278
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,6,9:50,10:08,0:18,3%,10:11,0:03,1%,11:23,0:02,203
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,7,4:49,19:15,14:26,300%,23:33,4:18,89%,8:10,0:11,243
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,8,4:58,5:00,0:02,1%,11:07,6:07,123%,7:50,0:12,232
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,9,4:40,5:23,0:43,15%,10:53,5:30,118%,9:31,0:08,447
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,10,9:55,11:40,1:45,18%,12:21,0:41,7%,1:58,0:06,226
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,11,10:22,22:00,11:38,112%,22:52,0:52,8%,1:53,0:05,287
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,12,10:30,21:33,11:03,105%,22:23,0:50,8%,0:22,0:04,232
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,13,10:06,10:12,0:06,1%,10:36,0:24,4%,8:29,0:06,160
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,14,9:58,10:38,0:40,7%,10:57,0:19,3%,2:22,0:02,210
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,15,10:21,10:55,0:34,5%,11:24,0:29,5%,3:21,0:02,249
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,16,5:21,5:34,0:13,4%,12:13,6:39,124%,4:09,0:11,382
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,17,4:36,5:03,0:27,10%,8:47,3:44,81%,8:50,0:11,286
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,18,4:37,4:48,0:11,4%,8:02,3:14,70%,7:01,0:10,246
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,19,9:32,11:10,1:38,17%,11:42,0:32,6%,0:07,0:05,157
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,20,9:52,10:23,0:31,5%,10:58,0:35,6%,2:08,0:06,247
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,21,9:54,10:14,0:20,3%,11:06,0:52,9%,2:06,0:02,211
