"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 00:00","2025","01","01","00:00","","2.4","","2.4","","100","","","M","","","0","","","M","99.81","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 01:00","2025","01","01","01:00","","2.8","","2.8","","100","","","M","1","","3","","","M","99.78","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 02:00","2025","01","01","02:00","","0.5","","0.5","","100","","","M","4","","8","","","M","99.69","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 03:00","2025","01","01","03:00","","-0.8","","-0.8","","100","","","M","12","","9","","","M","99.80","","","","-4","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 04:00","2025","01","01","04:00","","-0.8","","-0.8","","100","","","M","13","","15","","","M","99.81","","","","-5","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 05:00","2025","01","01","05:00","","-2.5","","-2.5","","100","","","M","","","0","","","M","99.75","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 06:00","2025","01","01","06:00","","-2.2","","-2.2","","100","","","M","14","","15","","","M","99.72","","","","-7","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 07:00","2025","01","01","07:00","","-2.3","","-2.3","","100","","","M","11","","14","","","M","99.67","","","","-7","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 08:00","2025","01","01","08:00","","-2.0","","-2.0","","100","","","M","12","","16","","","M","99.65","","","","-7","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 09:00","2025","01","01","09:00","","-1.4","","-1.4","","100","","","M","13","","20","","","M","99.53","","","","-7","","NA"
