Route,Direction,Weekday,Service Day,Branch,Month,Hour,Average Headway,Actual Gap,Additional Time due to Missing Service,% Additional Time due to Missing Service,Waiting Time as Experienced,Additional Time due to Bunching,% Additional Time due to Bunching,Schedule Adherence,Dwell Time at Stops,Stops Served,Total Dwell Time,Branch_Direction,Weekday_Hour,previous_bus_delay
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,5,610,1210,600,0.98,1241,31,0.05,428,3,219,657,1 To Bridge Terminal_West,Monday_5,
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,6,604,631,27,0.04,669,38,0.06,106,6,278,1668,1 To Bridge Terminal_West,Monday_6,428.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,7,271,302,31,0.11,644,342,1.26,322,9,433,3897,1 To Bridge Terminal_West,Monday_7,106.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,8,323,353,30,0.09,556,203,0.63,458,8,445,3560,1 To Bridge Terminal_West,Monday_8,322.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,9,290,594,304,1.05,845,251,0.87,301,12,435,5220,1 To Bridge Terminal_West,Monday_9,458.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,10,629,670,41,0.07,689,19,0.03,158,2,211,422,1 To Bridge Terminal_West,Monday_10,301.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,11,612,650,38,0.06,703,53,0.09,44,2,168,336,1 To Bridge Terminal_West,Monday_11,158.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,12,602,987,385,0.64,1029,42,0.07,258,4,231,924,1 To Bridge Terminal_West,Monday_12,44.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,13,607,619,12,0.02,658,39,0.06,39,4,186,744,1 To Bridge Terminal_West,Monday_13,258.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,14,582,1449,867,1.49,1466,17,0.03,157,5,280,1400,1 To Bridge Terminal_West,Monday_14,39.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,15,598,642,44,0.07,698,56,0.09,38,5,292,1460,1 To Bridge Terminal_West,Monday_15,157.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,16,293,299,6,0.02,505,206,0.7,261,6,240,1440,1 To Bridge Terminal_West,Monday_16,38.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,17,327,729,402,1.23,864,135,0.41,516,5,322,1610,1 To Bridge Terminal_West,Monday_17,261.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,18,282,1047,765,2.71,1182,135,0.48,399,6,313,1878,1 To Bridge Terminal_West,Monday_18,516.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,19,610,640,30,0.05,647,7,0.01,79,2,218,436,1 To Bridge Terminal_West,Monday_19,399.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,20,629,634,5,0.01,679,45,0.07,157,3,221,663,1 To Bridge Terminal_West,Monday_20,79.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,21,620,1420,800,1.29,1440,20,0.03,46,5,183,915,1 To Bridge Terminal_West,Monday_21,157.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,22,571,596,25,0.04,601,5,0.01,-10,6,279,1674,1 To Bridge Terminal_West,Monday_22,46.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,January,23,586,591,5,0.01,616,25,0.04,440,3,174,522,1 To Bridge Terminal_West,Monday_23,-10.0
